average_entropy,average_policy_loss,average_value,average_value_loss,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
1.3108859,-4.377216100692749e-08,10.350088,0.8012509072820345,nan,nan,245.0,9.0,0.4644668712084239,189,24,1.0,256,256
1.3376211,1.7074247201283772e-08,10.141236,0.43120039883069694,420.0,34.0,251.5,2.5,0.8414633953516223,191,48,2.0,512,512
1.3494663,1.9971695211198593e-08,10.042651,0.9545743441105716,375.5,18.0,182.66666666666666,1.6666666,0.45086933901451254,192,72,3.0,768,768
1.3897469,1.5677263339360554e-08,9.8683405,0.7294944925815798,375.5,18.0,242.0,9.25,0.8342627839485955,191,96,4.0,1024,1024
1.4640273,-0.0006763418018817901,9.479672,0.5623100468330086,390.3333333333333,21.0,207.2,7.4,0.5178334977157832,190,120,5.0,1280,1280
1.4373794,0.0020897265896201132,9.253191,0.5416208382509649,390.3333333333333,21.0,219.42857142857142,9.285714,0.6054419984102701,190,144,6.0,1536,1536
1.4753366,-0.003772120960056782,9.105893,0.138136689607054,397.75,23.5,219.42857142857142,9.285714,0.48921604526762574,190,168,7.0,1792,1792
1.4652275,-0.001041022688150406,9.231747,0.07806122336536646,402.2,24.6,242.625,8.375,0.8554880184866507,190,192,8.0,2048,2048
1.3863719,0.005638977400958538,9.683197,0.08390720257535576,402.2,24.6,242.625,8.375,0.6240969943383303,199,216,9.0,2304,2304
1.4102854,0.002305161915719509,9.972801,0.13446758644655346,405.1666666666667,24.166666,262.3333333333333,10.111111,0.6042568702335762,200,240,10.0,2560,2560
1.3485054,0.002061019390821457,10.272021,0.13461408676579595,405.1666666666667,24.166666,275.7,10.6,0.5704253163512094,199,264,11.0,2816,2816
